Song ID: 0059
Theme: Dinosaur Explorer
Macro Domain: Dinosaurs & Fossils
Mapping State: PROPOSED

A-Z OBJECTS
A -> Allosaurus
B -> Brachiosaurus
C -> Carnotaurus
D -> Diplodocus
E -> Edmontosaurus
F -> Footprint
G -> Gastonia
H -> Herrerasaurus
I -> Iguanodon
J -> Jawbone
K -> Kritosaurus
L -> Lesothosaurus
M -> Mosasaurus
N -> Nest
O -> Oviraptor
P -> Pteranodon
Q -> Quetzalcoatlus
R -> Raptor
S -> Spinosaurus
T -> Tyrannosaurus
U -> Utahraptor
V -> Volcano
W -> Wuerhosaurus
X -> Xixiasaurus
Y -> Yinlong
Z -> Zephyrosaurus
