song_id,theme,semantic_focus,macro_domain,theme_scope,mapping_state
0001,Ocean Animals & Coast,Ocean Animals & Coast,Ocean & Coast,guided,PROPOSED
0002,Sea Life & Shores,Sea Life & Shores,Ocean & Coast,guided,PROPOSED
0003,Ocean Creatures & Boats,Ocean Creatures & Boats,Ocean & Coast,guided,PROPOSED
0004,Ocean Nature & Travel,Ocean Nature & Travel,Ocean & Coast,guided,PROPOSED
0005,Coast Explorer,Coast Explorer,Ocean & Coast,guided,PROPOSED
0006,Pond & River Life,Pond & River Life,Freshwater,guided,PROPOSED
0007,Lakes & Waterways,Lakes & Waterways,Freshwater,guided,PROPOSED
0008,Freshwater Animals,Freshwater Animals,Freshwater,guided,PROPOSED
0009,Wetland Nature,Wetland Nature,Freshwater,guided,PROPOSED
0010,Riverbank Explorer,Riverbank Explorer,Freshwater,guided,PROPOSED
0011,Farm Animals,Farm Animals,Farm & Barn,guided,PROPOSED
0012,Barn & Fields,Barn & Fields,Farm & Barn,guided,PROPOSED
0013,Farm Tools & Crops,Farm Tools & Crops,Farm & Barn,guided,PROPOSED
0014,Country Farm Life,Country Farm Life,Farm & Barn,guided,PROPOSED
0015,Harvest & Orchard,Harvest & Orchard,Farm & Barn,guided,PROPOSED
0016,Garden Plants,Garden Plants,Garden & Plants,guided,PROPOSED
0017,Flowers & Bugs,Flowers & Bugs,Garden & Plants,guided,PROPOSED
0018,Garden Equipment,Garden Equipment,Garden & Plants,guided,PROPOSED
0019,Vegetables & Seeds,Vegetables & Seeds,Garden & Plants,guided,PROPOSED
0020,Backyard Garden,Backyard Garden,Garden & Plants,guided,PROPOSED
0021,Woodland Animals,Woodland Animals,Forest & Woodland,guided,PROPOSED
0022,Trees & Forest Floor,Trees & Forest Floor,Forest & Woodland,guided,PROPOSED
0023,Forest Birds & Plants,Forest Birds & Plants,Forest & Woodland,guided,PROPOSED
0024,Woodland Explorer,Woodland Explorer,Forest & Woodland,guided,PROPOSED
0025,Autumn Forest,Autumn Forest,Forest & Woodland,guided,PROPOSED
0026,Rainforest Animals,Rainforest Animals,Jungle & Rainforest,guided,PROPOSED
0027,Tropical Jungle,Tropical Jungle,Jungle & Rainforest,guided,PROPOSED
0028,Jungle Plants & Creatures,Jungle Plants & Creatures,Jungle & Rainforest,guided,PROPOSED
0029,Rainforest Explorer,Rainforest Explorer,Jungle & Rainforest,guided,PROPOSED
0030,Canopy & River,Canopy & River,Jungle & Rainforest,guided,PROPOSED
0031,Desert Animals,Desert Animals,Desert,guided,PROPOSED
0032,Cactus & Dunes,Cactus & Dunes,Desert,guided,PROPOSED
0033,Desert Plants & Rocks,Desert Plants & Rocks,Desert,guided,PROPOSED
0034,Desert Explorer,Desert Explorer,Desert,guided,PROPOSED
0035,Oasis & Wildlife,Oasis & Wildlife,Desert,guided,PROPOSED
0036,Polar Animals,Polar Animals,Arctic & Polar,guided,PROPOSED
0037,Ice & Tundra,Ice & Tundra,Arctic & Polar,guided,PROPOSED
0038,Frozen Ocean,Frozen Ocean,Arctic & Polar,guided,PROPOSED
0039,Arctic Explorer,Arctic Explorer,Arctic & Polar,guided,PROPOSED
0040,Snowy Wildlife,Snowy Wildlife,Arctic & Polar,guided,PROPOSED
0041,Mountain Animals,Mountain Animals,Mountains,guided,PROPOSED
0042,Peaks & Valleys,Peaks & Valleys,Mountains,guided,PROPOSED
0043,Alpine Nature,Alpine Nature,Mountains,guided,PROPOSED
0044,Mountain Explorer,Mountain Explorer,Mountains,guided,PROPOSED
0045,Trails & Glaciers,Trails & Glaciers,Mountains,guided,PROPOSED
0046,Weather Watch,Weather Watch,Weather & Sky,guided,PROPOSED
0047,Sky & Clouds,Sky & Clouds,Weather & Sky,guided,PROPOSED
0048,Weather Gear,Weather Gear,Weather & Sky,guided,PROPOSED
0049,Wind Rain & Snow,Wind Rain & Snow,Weather & Sky,guided,PROPOSED
0050,Weather Station,Weather Station,Weather & Sky,guided,PROPOSED
0051,Space Explorer,Space Explorer,Space & Astronomy,guided,PROPOSED
0052,Planets & Stars,Planets & Stars,Space & Astronomy,guided,PROPOSED
0053,Rockets & Astronauts,Rockets & Astronauts,Space & Astronomy,guided,PROPOSED
